,trial_id,state,value,datetime_start,datetime_complete,params,params
,,,,,,x,y
37,37,TrialState.COMPLETE,25.567587610067683,2018-12-15 23:17:16.848974,2018-12-15 23:17:16.856710,-0.3533845175820898,-1.475395951474305
38,38,TrialState.COMPLETE,0.011076409248789776,2018-12-15 23:17:16.865021,2018-12-15 23:17:16.873564,2.104570474438844,3.011892229581741
39,39,TrialState.COMPLETE,43.55335512275936,2018-12-15 23:17:16.881594,2018-12-15 23:17:16.889563,0.6139432419222013,-3.4523020532323363
40,40,TrialState.COMPLETE,11.155380083624543,2018-12-15 23:17:16.897546,2018-12-15 23:17:16.904427,4.957826234476062,4.551336214451819
41,41,TrialState.COMPLETE,0.5934064775787261,2018-12-15 23:17:16.910574,2018-12-15 23:17:16.919430,1.240527518047066,3.128872133275493
42,42,TrialState.COMPLETE,2.8293563029345705,2018-12-15 23:17:16.927610,2018-12-15 23:17:16.937701,3.512655216385729,3.73568369512693
43,43,TrialState.COMPLETE,47.766558320990384,2018-12-15 23:17:16.945966,2018-12-15 23:17:16.955191,-4.91122507605592,2.9609325060154257
44,44,TrialState.COMPLETE,50.98574684330572,2018-12-15 23:17:16.962979,2018-12-15 23:17:16.970936,4.4796798986252035,-3.696038712825653
45,45,TrialState.COMPLETE,10.518432337125624,2018-12-15 23:17:16.980215,2018-12-15 23:17:16.988027,-0.8115249833436979,1.3832874079911908
46,46,TrialState.COMPLETE,32.796210197762974,2018-12-15 23:17:16.996683,2018-12-15 23:17:17.004796,2.0965550917133577,-2.725983523555337
47,47,TrialState.COMPLETE,0.947517433759139,2018-12-15 23:17:17.014881,2018-12-15 23:17:17.027829,2.7429669276609046,3.628901882777636
48,48,TrialState.COMPLETE,53.48650423333861,2018-12-15 23:17:17.038260,2018-12-15 23:17:17.049739,-3.8786450478180408,-1.3506363482946995
49,49,TrialState.COMPLETE,4.680714269058644,2018-12-15 23:17:17.058324,2018-12-15 23:17:17.065188,0.527435999011767,4.585014047903731
50,50,TrialState.COMPLETE,26.198852179276376,2018-12-15 23:17:17.074560,2018-12-15 23:17:17.085161,1.7205882791392937,-2.110849368698126
51,51,TrialState.COMPLETE,76.15515168681775,2018-12-15 23:17:17.093075,2018-12-15 23:17:17.101233,-1.958557796176056,-4.77720848769991
52,52,TrialState.COMPLETE,2.9914669811861097,2018-12-15 23:17:17.107836,2018-12-15 23:17:17.113605,3.381332301399788,1.9591407134988537
53,53,TrialState.COMPLETE,0.7487160473932826,2018-12-15 23:17:17.123818,2018-12-15 23:17:17.133592,1.314339472874643,2.4721878279771676
54,54,TrialState.COMPLETE,10.58088943161356,2018-12-15 23:17:17.140748,2018-12-15 23:17:17.147523,2.863131823397369,-0.13622271005301734
55,55,TrialState.COMPLETE,6.30682031244454,2018-12-15 23:17:17.160273,2018-12-15 23:17:17.168443,-0.1192803673616285,1.6526058345977224
56,56,TrialState.COMPLETE,25.24667918363123,2018-12-15 23:17:17.176974,2018-12-15 23:17:17.187358,-3.0198026707295695,2.780317659864281
57,57,TrialState.COMPLETE,10.669436342214176,2018-12-15 23:17:17.196160,2018-12-15 23:17:17.206403,4.8089217818043934,4.667151692534008
58,58,TrialState.COMPLETE,14.577843783395569,2018-12-15 23:17:17.212478,2018-12-15 23:17:17.225073,-1.2811670860618913,1.0476203400107642
59,59,TrialState.COMPLETE,8.108385677835553,2018-12-15 23:17:17.235305,2018-12-15 23:17:17.245476,-0.76872412339246,2.3347538753361983
60,60,TrialState.COMPLETE,7.3624981721066405,2018-12-15 23:17:17.255497,2018-12-15 23:17:17.263757,2.193877465483559,0.2935429616407519
61,61,TrialState.COMPLETE,4.7257681087004615,2018-12-15 23:17:17.269664,2018-12-15 23:17:17.280158,3.9841217999176197,3.888272926409517
62,62,TrialState.COMPLETE,41.13839006059498,2018-12-15 23:17:17.291112,2018-12-15 23:17:17.299133,-4.382980532021488,3.6292452530052652
63,63,TrialState.COMPLETE,56.068106042736666,2018-12-15 23:17:17.309564,2018-12-15 23:17:17.318291,0.2869475201160066,-4.289276867008137
64,64,TrialState.COMPLETE,1.9159250508519778,2018-12-15 23:17:17.326816,2018-12-15 23:17:17.337721,1.9013345508741641,4.380648463585418
65,65,TrialState.COMPLETE,0.981743042391505,2018-12-15 23:17:17.351476,2018-12-15 23:17:17.360376,1.0252666239854815,3.1778704249582947
